notes,five_year_age_groups,five_year_age_groups_code,deaths,population,crude_rate,crude_rate_lower_95_percent_confidence_interval,crude_rate_upper_95_percent_confidence_interval,crude_rate_standard_error,death_cause,acp_name,time_period
,< 1 year,1,Suppressed,2030761,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Exurbs,2015-2019
,1-4 years,1-4,Suppressed,8713228,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Exurbs,2015-2019
,5-9 years,5-9,Suppressed,11873882,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Exurbs,2015-2019
,10-14 years,10-14,329,12754442,2.579,2.301,2.858,0.142,Suicide,Exurbs,2015-2019
,15-19 years,15-19,1548,12139316,12.752,12.117,13.387,0.324,Suicide,Exurbs,2015-2019
,20-24 years,20-24,2084,10698674,19.479,18.643,20.315,0.427,Suicide,Exurbs,2015-2019
,25-29 years,25-29,2114,10932699,19.336,18.512,20.161,0.421,Suicide,Exurbs,2015-2019
,30-34 years,30-34,2100,11484479,18.286,17.503,19.068,0.399,Suicide,Exurbs,2015-2019
,35-39 years,35-39,2129,12078509,17.626,16.878,18.375,0.382,Suicide,Exurbs,2015-2019
,40-44 years,40-44,2145,11817638,18.151,17.383,18.919,0.392,Suicide,Exurbs,2015-2019
,45-49 years,45-49,2515,12596254,19.966,19.186,20.747,0.398,Suicide,Exurbs,2015-2019
,50-54 years,50-54,2815,12690491,22.182,21.363,23.001,0.418,Suicide,Exurbs,2015-2019
,55-59 years,55-59,2711,12565174,21.576,20.763,22.388,0.414,Suicide,Exurbs,2015-2019
,60-64 years ,60-64,2003,10864633,18.436,17.629,19.243,0.412,Suicide,Exurbs,2015-2019
,65-69 years,65-69,1378,9050094,15.226,14.422,16.030,0.410,Suicide,Exurbs,2015-2019
,70-74 years,70-74,1053,6756081,15.586,14.645,16.527,0.480,Suicide,Exurbs,2015-2019
,75-79 years,75-79,836,4456262,18.760,17.488,20.032,0.649,Suicide,Exurbs,2015-2019
,80-84 years,80-84,572,2844945,20.106,18.458,21.754,0.841,Suicide,Exurbs,2015-2019
,85-89 years,85-89,364,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Exurbs,2015-2019
,90-94 years,90-94,165,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Exurbs,2015-2019
,95-99 years,95-99,32,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Exurbs,2015-2019
,100+ years,100+,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Exurbs,2015-2019
,Not Stated,NS,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Exurbs,2015-2019
Total,,,26898,179210205,15.009,14.830,15.189,0.092,Suicide,Exurbs,2015-2019
